Incident_number,division,Zone,market_area,location_name,facility_type,description_of_location,Date_of_incident,time_of_incident,involved_employee_id,INVOLVED_EMPLOYEE_TITLE,INCIDENT_TYPE,WAS_A_MOTOR_VEHICLE_INVOLVED,DATE_REPORTED,HOW_DID_THE_INJURY_OCCUR,WHAT_WAS_THE_INJURY_OR_ILLNESS,DESCRIPTION_OF_INCIDENT,ROOT_CAUSE,INITIAL_ROOT_CAUSE,WHY_DID_THIS_OCCUR__WHY,WHY_DID_THIS_OCCUR__WHY1
CY25-00046,WESTERN DIVISION,SOUTH PACIFIC ZONE,LAS VEGAS AP,LAS VEGAS MCCARRAN (02050-11),HCS,Vehicle wash area,1/13/2025,6:00 PM,182774,Transporter - Rideshare,Third Party or Contractor Incident,No,1/14/2024,Hit by moving vehicle,Slip or Trip but did not fall,Employee in blind spot of reversing vehicle in Vehicle wash area.,Unpredictable event (personal issue),Employee had undisclosed pre-existing condition that contributed.,"Why was hit by moving vehicle not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why does the root cause persist across multiple incidents?
Because corrective actions from prior incidents were not verified for effectiveness through follow-up audits."
CY25-00842,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Fuel island,8/1/2025,7:35 PM,133544,Transporter Car,Customer Incident,No,8/2/2024,Lifting heavy object caused back strain,Sprain/Strain or Tear of Lower Back Area,"Employee lifted oversized item without assistance in Fuel island, causing strain injury.",Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00331,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Shuttle staging area,3/26/2025,6:35 AM,842703,Mechanic B,Employee Incident,No,3/27/2024,Chemical splash during cleaning,No Physical Injury,Cleaning chemical splashed employee's face/hands during routine cleaning in Shuttle staging area.,Customer/3rd Party/Vendor related incident,Contractor working on-site did not follow Hertz safety protocols.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was the risk not prioritized?
Because risk ranking in the current program does not weight frequency of exposure adequately."
CY25-01210,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Customer pickup zone,10/30/2025,5:28 PM,810450,Lot Attendant,Customer Incident,No,11/1/2024,Repetitive motion strain,Sprain/Strain or Tear of Lower Back Area,Repetitive scanning and data entry in Customer pickup zone caused wrist/shoulder strain.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was repetitive motion strain not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01604,WESTERN DIVISION,SOUTHWEST ZONE,MINNEAPOLIS AP,MINNEAPOLIS-ST PAUL (01750-11),HLE,Employee entrance,2/6/2026,4:14 PM,132959,Mechanic A,Customer Incident,No,2/8/2025,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Employee entrance created slip hazard; employee slipped before area could be cleared.,Poor Ergonomics,Workstation layout requires repeated awkward posture.,"Why was slip on fuel spill not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00982,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,9/5/2025,2:07 PM,332135,Customer Experience Associate,Employee Incident,No,9/5/2024,Caught between equipment,Laceration of Finger,Employee sustained finger injury while positioning equipment in Fuel island.,Standard Work Procedures Insufficient or Non-existent,No documented SWP for this task found during investigation.,"Why was caught between equipment not identified or corrected before the incident?
Because routine safety walkthroughs were not being consistently completed in this area.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00981,EASTERN DIVISION,MID ATLANTIC ZONE,MIAMI AP,MIAMI INTL AP (01300-10),HLE,Loading dock,9/5/2025,3:14 PM,147924,Counter Sales Rep,Property Damage,No,9/7/2024,Fall from vehicle step,Sprain/Strain or Tear of Lower Back Area,Employee lost footing on vehicle entry step in Loading dock.,Unpredictable event (personal issue),Medical event occurred without prior warning.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-00987,EASTERN DIVISION,MID ATLANTIC ZONE,NEW YORK JFK,JFK INTL AP (02100-14),AIRPORT,Parking garage,9/7/2025,5:00 AM,517106,Customer Experience Associate,Employee Incident,No,9/8/2024,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Parking garage. Reported immediately and first aid administered on site.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01633,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Shuttle staging area,2/13/2026,6:21 AM,602249,Customer Experience Associate,Property Damage,No,2/15/2025,Employee slipped on wet floor while walking,Sprain/Strain or Tear of Lower Back Area,Employee slipped on wet surface in Shuttle staging area. Reported immediately and first aid administered on site.,Unpredictable event (motor vehicle accident another driver at fault),Rear-end collision by vehicle not affiliated with Hertz.,"Why was training insufficient for this scenario?
Because the training curriculum had not been updated to reflect recent changes in equipment and workflow.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01737,EASTERN DIVISION,SOUTHEAST ZONE,CHARLOTTE AP,CHARLOTTE DOUGLAS INTL (01550-13),AIRPORT,Service lot,3/8/2026,4:21 PM,121507,Mechanic B,Vehicle Incident (Motor Vehicle Accident),Yes,3/10/2025,Slip on fuel spill,Contusion/Bruise of Hand,Fuel leak at Service lot created slip hazard; employee slipped before area could be cleared.,Poor Ergonomics,Tools not appropriate size/weight for frequent repetitive use.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-00850,WESTERN DIVISION,SOUTHWEST ZONE,DALLAS-FT WORTH AP,DALLAS LOVE FIELD (01602-11),HLE,Counter area,8/3/2025,11:14 AM,763626,Customer Experience Associate,Third Party or Contractor Incident,No,8/3/2024,Chemical splash during cleaning,No Physical Injury,Improper PPE use during chemical cleaning in Counter area led to splash exposure.,Process not error-proof,No two-person requirement enforced for heavy lift tasks.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
CY25-01318,CANADA,CA ALBERTA ZONE,TORONTO AP,TORONTO PEARSON INTL (08200-11),AIRPORT,Vehicle wash area,11/26/2025,9:42 AM,292565,Safety Supervisor,Employee Incident,No,11/27/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Collision in Vehicle wash area during normal vehicle movement operations. No serious injuries sustained.,Poor Ergonomics,Inadequate preventive maintenance created ergonomic hazard.,"Why were standard procedures not followed?
Because employees were under time pressure and the protocol added steps that were perceived as optional.","Why was accountability not enforced?
Because the current management structure does not include a formal safety ownership model at the location level."
CY25-01560,WESTERN DIVISION,SOUTHWEST ZONE,PHOENIX AP,PHOENIX SKY HARBOR (01950-17),AIRPORT,Maintenance bay,1/27/2026,9:21 AM,927616,Transporter Car,Third Party or Contractor Incident,No,1/28/2025,Caught between equipment,Laceration of Finger,Pinch point injury in Maintenance bay during equipment staging.,Process not error-proof,No physical guard or barrier to prevent access to pinch point.,"Why did the employee proceed without addressing the hazard?
Because there was no clear escalation path to report minor hazards before they caused injury.","Why has this area not received an ergonomic or safety engineering review?
Because capital improvement requests require extended lead times and the hazard was classified as low severity in the prior assessment."
CY25-01233,EASTERN DIVISION,FLORIDA ZONE,ORLANDO INTL AP,ORLANDO INTL AP (01324-16),AIRPORT,Fuel island,11/5/2025,6:00 PM,473470,Mechanic B,Customer Incident,No,11/5/2024,Vehicle collision at intersection,Contusion/Bruise of Hand,Vehicle collision occurred at Fuel island intersection. Employee reported and vehicle assessed for damage.,Failure to Identify Hazards,Area not inspected prior to shift start.,"Why was the hazard not reported prior to the incident?
Because the reporting system is not easily accessible from field locations and the process is perceived as burdensome.","Why had no corrective action been taken despite prior near-misses?
Because near-misses were not consistently logged and therefore did not trigger a formal review."
